"Phase","Index","Label","Description","Category","Level","Symptom","Entry"
"3","3922.0","history of superficial phlebitis","Superficial phlebitis is an inflammation of a vein just below the surface of the skin, which results from a blood clot","Disease / Medical Condition","1","history of superficial phlebitis","Hello Doctor, I wanted to inform you that I have a medical history of superficial phlebitis. I thought it would be important for you to know this as it might influence my treatment plan."
"3","2288.0","use of macrolides","Macrolides inhibit the growth of bacteria and are used to treat common bacterial infections","Medication","2","use of biaxin","I have been use of biaxin"
"1","2189","swelling in tongue with inflammation","Tongue inflammation","Symptom","2","bulge in tongue","I woke up three days ago with a weird bulge on my tongue."
"3","5658.0","exercising","Regularly practice any kind of dance for a long period of time lasting between half an hour to several hours","Risk factor","3","aerobic dance","I've been regularly engaging in a form of exercise involving rhythmic movements and music."
"3","1558.0","family history of hypertension","Hypertension is when blood pressure is higher than 140/90 mm hg","Family History","2","hypertension is common in the family lineage","Hypertension is common in my family lineage, with a family history of high blood pressure"
"1","2162","visual loss","Blindness","Symptom","2","blindness","I have experienced some blindness."
"1","1731","progressive weakness of legs","Gradual lower limb weakness","Symptom","2","deteriorating leg weakness","I have been experiencing deteriorating leg weakness."
"3","2520.0","use of proton-pump inhibitors","Proton pump inhibitors are medicines that work by reducing the amount of stomach acid","Medication","2","use of stomach acid medication","I engage in the use of stomach acid medication."
"1","578","drainage through wound in upper extremity","Fluid from a wound in arms or hands","Symptom","2","pus from a wound in arms","I must have hurt myself worse than I'd previously thought, because now there's pus from a wound in arms."
"3","1039.0","family history of lichen planus","Lichen planus is a rash that can affect different parts of your body, including the inside of your mouth","Family History","2","ancestral background of lichen planus","My mother and I have an ancestral background of lichen planus."
"1","299","exophthalmos","Bulging eyeballs","Symptom","3","exophthalmos","Lately, I've noticed a significant protrusion of my eyeballs, making them appear unusually prominent and bulging. It feels as if my eyes are being pushed forward, causing discomfort and affecting my vision."
"1","236","dry skin at lower extremity","Dry skin on legs or feet","Symptom","2","dry skin at lower limbs","Ever since my humidifier stopped working I've had dry skin all over my lower limbs."
"3","4258.0","family history of allergy","Allergic diseases refer to eczema, asthma, hay fever, anaphylaxis, or any food allergies","Family History","2","family history of hypersensitivity","I have a family history of hypersensitivity, which is an inherited condition that can cause symptoms such as rashes, hives, or other allergic reactions."
"1","2080","urinary incontinence","Leaking urine","Symptom","2","lack of bladder control","Sometimes I leak urine without meaning to."
"1","564","hyperosmia","Increased sensitivity to smell","Symptom","2","increased smelling ability","Sometimes when participating in normal activities I have been experiencing an increased smelling ability that seems a bit odd to me. Things are very strong smelling to me, and not to others around me and I am wondering why this is happening as it is becoming intrusive into my activities."
"3","5439.0","congenital heart disease","Congenital heart disease refers to one or more structural problems in the heart that have existed since birth","Disease / Medical Condition","2","congenital heart anomaly","i have a congenital heart anomaly"
"3","1913.0","family history of premenstrual syndrome","Premenstrual syndrome is the name for the symptoms women can experience in the weeks before their period","Family History","2","inherited predisposition to premenstrual syndrome","""I have an inherited predisposition to premenstrual syndrome."""
"3","3964.0","history of pulmonary embolism","Pulmonary embolism is the blockage of an artery in the lungs due to a blood clot, fat or fluid","Family History","2","a past record of pulmonary embolism","I have a past record of a pulmonary embolism."
"1","1565","pain in upper extremity","Pain in arms","Symptom","2","pain in arms","I've been having pain in my arm for the past few days. It's a sharp pain that's located in my shoulder. It's been getting worse, and it's starting to make it difficult to move my arm."
"3","2529.0","history of uterine surgery","Uterine surgery refers to any surgery of the womb such as a c-section, but not including the removal of the uterus","Procedure / Surgery","2","uterine surgery in the medical records","I think I have uterine surgery in the medical records."
"1","1131","skin erythema","Painless red spots on the soles of feet or palms of hands","Symptom","2","small erythematous macular lesions","I noticed yesterday that I have small erythematous macular lesions."
"3","3030.0","use of trimethoprim sulfamethoxazole","Trimethoprim is an antibiotic used mainly in the treatment of bladder infections","Medication","2","taking trimethoprim","I am taking trimethoprim, which is a type of antibiotic. It is something that I have been prescribed in the past for various medical issues."
"3","3961.0","history of pulmonary embolism","Pulmonary embolism is the blockage of an artery in the lungs due to a blood clot, fat or fluid","Family History","1","history of pulmonary embolism","I have a history of pulmonary embolisms."
"1","784","fissured skin at lower extremity","Cracks on leg skin","Symptom","1","fissured skin at lower extremity","I'm experiencing fissured skin at my lower extremity even after I apply lotion."
"3","1358.0","dry eyes","Eyes currently or often feeling dry","Symptom","2","dehydration of eyes","I have been previously diagnosed with dehydration of eyes"
"3","4749.0","family history of eosinophilic esophagitis","Eosinophilic esophagitis is an allergic condition that happens in the esophagus","Family History","2","ancestral background of eosinophilic esophagitis","I think it’s important for you to know that there is a history of eosinophilic esophagitis in my family. This ancestral background could potentially influence my health."
"3","4505.0","family history of preeclampsia","Preeclampsia is a pregnancy complication that causes high blood pressure and damage to other organs, most often the liver and kidneys","Family History","2","family history of gestational hypertension","""I have a family history of gestational hypertension, which is specific to females, and I believe it's important for you to know this as part of my medical history."""
"3","2593.0","low fiber consumption","Your meals normally low in Fiber is a type of carbohydrate that the body can't digest","Risk factor","3","low fiber consumption","""I typically have a diet that is low in a certain type of carbohydrate that the body cannot digest, and I think it may be relevant to my overall health."""
"1","1353","muscle cramps","","Symptom","2","charley horses","seen last night i am having  charley horses problem."
"3","4005.0","chronic use of medications","Nonsteroidal anti-inflammatory drugs include aspirin, ibuprofen (advil), naproxen","Medication","2","nonsteroidal anti-inflammatory drug consumption","I am currently consuming nonsteroidal anti-inflammatory drugs."
"3","321.0","young age at first sexual intercourse","Sexual intercourse before the age of 14","Reproductive/sexual status","2","sexual intercourse before the age of 14","I want to note that I did have sexual intercourse before the age of 14 ."
"3","12.0","consumption of contaminated food or water","Eating/drinking dirty food or water","Risk factor","2","drinking dirty water","""I have been drinking dirty water."""
"1","1570","pain in upper extremity","Pain in arms","Symptom","2","hand ache","My hand has been aching the last few weeks."
"1","1516","otorrhea","Liquid coming out of ear","Symptom","3","otorrhea","I feel experience on my ear some liquid like coming out for past two days"
"1","53","anal mass","","Symptom","2","rectal bulge","I am experiencing a bulge in my rectum."
"3","1691.0","consumption of raw or poorly cooked fish","Recently eating poorly cooked or raw fish","Risk factor","3","consumption of raw or poorly cooked fish","I ate undercooked fish"
"3","2345.0","recent surgery","Vascular surgery can be any surgery that includes arteries, veins and lymphatic vessels","Procedure / Surgery","2","history of blood vessel procedure","I have been previously diagnosed with history of blood vessel issues."
"1","1612","paroxysmal hypertension","Intermittent hypertension","Symptom","2","attacks of abrupt elevation in blood pressure","I've been having these episodes where my blood pressure suddenly spikes. It's like I can feel my heart racing and my head pounding, and I'm worried about these abrupt elevations in blood pressure."
"1","1753","pruritus","Itchy skin","Symptom","3","pruritus","I've been experiencing a persistent sensation on my skin that's making me want to scratch it. It's quite uncomfortable, and I'm not sure what's causing it."
"1","417","gingival swelling","Gum swelling","Symptom","1","gingival swelling","My gums feel painful and swollen."
"1","1649","pimples or bumps","Red lesions filled with pus","Symptom","2","small skin papule","""I noticed a small skin papule on my arm, which looks like a red lesion filled with pus."""
"3","3219.0","use of calcium channel blockers","Calcium channel blockers are medications that relax blood vessels and increase the supply of blood and oxygen to the heart","Medication","2","use of blood pressure medication","Will I ever be off blood pressure medication?  I notice that when I take the blood pressure medication I get dizzy."
"3","2599.0","low fiber consumption","Your meals normally low in Fiber is a type of carbohydrate that the body can't digest","Risk factor","2","low-fiber eating habits","I have been following a low-fiber diet, which I believe has contributed to my current health concerns."
"3","5504.0","recent infection","Pneumonia is an infection that inflames the air sacs in one or both lungs","Disease / Medical Condition","2","hap","My doctor told me I have an infection that inflames the air sacs in both lungs."
"3","4349.0","extreme exertion","Recent physical activity or sport was pushed too hard, resulting in overexertion","Risk factor","1","extreme exertion","I have been experiencing extreme exertion, which is also known as overexertion. It is an issue that can affect both genders, and I wanted to make sure you knew about it."
"3","4080.0","abdominal surgery","Surgical removal of part of the small intestine","Procedure / Surgery","2","removal of a part of the small intestine","I have had a surgical removal of part of my small intestine."
"1","1389","narcolepsy","Sudden involuntary falling asleep","Symptom","2","uncontrollable daytime sleepiness","No matter how well I slept the night before, I have been having uncontrollable daytime sleepiness, almost like narcolepsy."
"3","3183.0","wear wet underwear","Frequently wearing wet underwear or underwear often ending up getting wet","Risk factor","2","using moistened undergarments","I have been using moistened undergarments, and I wanted to inform you about it."
"3","5224.0","family history of kidney disease","Family history of kidney stones; are hard deposits made of minerals and salts that form inside your kidneys","Family History","2","nephrolithiasis runs in the family","I want to mention that nephrolithiasis runs in my family. It is a condition where kidney stones form, and is something that both genders can be affected by."
"1","2141","vertigo","Spinning dizziness","Symptom","2","spinning dizziness","Lately, I've been frequently feeling a tightness in my chest and a sensation of not getting enough air when I'm just sitting or resting. It's like my breath is consistently short, and it's been happening quite often."
"3","677.0","family history of graves disease","Graves disease is a disease that causes an overactive thyroid At which your immune system attacks the thyroid and causes it to make more thyroid hormone than your body needs","Family History","2","ancestral background of graves disease","I have a family history of Graves' disease."
"3","2144.0","joint swelling","Enlarged shoulder","Symptom","2","bulge in shoulder","I have a bulge in my shoulder."
"1","195","blue sclerae","Bluish coloration of the whites of the eyes","Symptom","2","bluish coloration of the whites of the eyes","sometimes It's like there's a bluish tint on the whites of my eyes, and it's not the usual white color."
"3","2845.0","recent neck injury or trauma","Recently hit or injured your neck","Risk factor","3","recent neck injury or trauma","I recently experienced trauma in my neck area that has caused me discomfort and pain."
"3","1877.0","overuse of elbow","Using your elbow often in activities that involve a lot of effort or in a sport","Risk factor","2","moving elbow a lot","I move my elbow alot."
"3","81.0","tracheostomy","Having a tube inserted at the front of neck to enable you to breathe","Procedure / Surgery","3","tracheostomy","I've undergone a procedure that involves the insertion of a tube in the front of my neck to facilitate breathing. I believe it's important for you to be aware of this aspect of my medical history."
"1","1614","paroxysmal hypertension","Intermittent hypertension","Symptom","2","episodes of high blood pressure with normal blood pressure in between","I am having issues with high blood pressure but it's normal in between each episode."
"3","1126.0","history of dental caries","Having tooth cavities","Disease / Medical Condition","2","history of cavities","I have many dental fillings because I have a history of cavities."
"3","4269.0","antiepileptic drugs","Antiepileptic drugs are drugs used for individuals who have epilepsy","Medication","2","aeds","I am taking aeds."
"3","3980.0","contact with person with mononucleosis","Mononucleosis is a contagious infection caused by a herpes virus","Risk factor","2","contact with person with epstein-barr virus infection","""I've had recent contact with someone who has an Epstein-Barr virus infection, and I wanted to make you aware of this potential risk factor for mononucleosis."""
"1","1232","lower leg pain","Pain in lower leg","Symptom","2","lower extremity pain","When I walk I am having lower extremity pain."
"3","3717.0","family history of stroke","Stroke occurs when a blood vessel that carries oxygen and nutrients to the brain is either blocked by a clot or ruptures","Family History","2","ancestral background of stroke","I have an ancestral background of strokes."
"3","1652.0","joint swelling","Enlarged fingers","Symptom","2","fingers swelling","I have recently noticed my fingers swelling."
"1","116","borborygmus","Stomach rumbling","Symptom","2","tummy sound","Well yesterday when I was eating, all of a sudden a got a really weird tummy sound. It is hard to explain the sound."
"3","1045.0","family history of lichen planus","Lichen planus is a rash that can affect different parts of your body, including the inside of your mouth","Family History","2","lichen planus is present among relatives","Some of my relatives have Lichen planus."
"1","167","barrel chest","Bloated chest","Symptom","1","barrel chest","Doctor, I've noticed that my chest appears bloated and rounded, which is commonly known as a barrel chest. I wanted to discuss this with you to understand the implications and potential causes of this condition."
"1","13","abdominal pain","","Symptom","2","abdominalgia","i feel heavy abdominal pain . i couldnt lift weight and also i feel uncomfortable while pooping"
"3","2371.0","family history of pernicious anemia","Pernicious anemia is a decrease in red blood cells that occurs when the body cannot absorb vitamin b12","Family History","2","pernicious anemia has been seen in multiple family members","The fatigue, lack of energy, and being lightheaded make me wonder I have a geneetic disorder since pernicious anemia has been seen in multiple family members."
"1","815","change in eating habits","Excessive appetite","Symptom","1","polyphagia","Lately, I've been dealing with polyphagia, experiencing an excessive appetite. I find myself constantly hungry and eating larger quantities of food than usual, which is causing concerns about my overall health and weight gain."
"3","807.0","use of growth hormone","Being on growth hormone treatment","Medication","2","use of saizen","Use of saizen was quite helpful in my therapy."
"3","3282.0","use of aminoglycoside","Aminoglycoside antibiotics include gentamicin, amikacin, tobramycin, neomycin, and streptomycin","Medication","3","use of aminoglycoside","I'm currently on tobramycin medication, and I thought it's important to let you know."
"3","726.0","hypoparathyroidism","Hypoparathyroidism is a rare condition where your body produces too little parathyroid hormone","Disease / Medical Condition","2","hypocalcemic syndrome","hypocalcemic syndrome i  am sufferinf from since last night"
"3","3283.0","use of aminoglycoside","Aminoglycoside antibiotics include gentamicin, amikacin, tobramycin, neomycin, and streptomycin","Medication","2","taking aminoglycoside","I have taking aminoglycoside"
"3","248.0","history of wilson's disease","Wilson's disease is a rare genetic disorder that causes copper to be stored in different body tissues","Disease / Medical Condition","2","a past record of wilson's disease","I am having a past record of Wilson's disease and I fear that I am suffering it again."
"3","1938.0","travel from or to an endemic area of tuberculosis","Recently been in an area where Tuberculosis (a bacterial infection that spreads through inhaling tiny droplets from the coughs or sneezes of an infected person) is very common","Risk factor","1","travel from or to an endemic area of tuberculosis","Doctor, I think it's important to inform you that I've recently traveled to/from an area known to be endemic for tuberculosis. Given the potential health risks associated with TB, I wanted to discuss any necessary screenings, precautions, or potential implications for my health"
"3","3029.0","use of trimethoprim sulfamethoxazole","Trimethoprim is an antibiotic used mainly in the treatment of bladder infections","Medication","3","use of trimethoprim","I have been treated with medicine for a bladder infection."
"3","1307.0","family history of hypertrophic obstructive cardiomyopathy","Hypertrophic obstructive cardiomyopathy is a serious condition in which the muscles of the heart become thicker than normal","Family History","2","grandpa had hypertrophic obstructive cardiomyopathy","""My grandpa had hypertrophic obstructive cardiomyopathy in his medical history."" ✅"
"1","56","change in eating habits","Poor appetite","Symptom","2","poor appetite","no hungry and no interest in eating foods sir"
"3","4356.0","extreme exertion","Recent physical activity or sport was pushed too hard, resulting in overexertion","Risk factor","2","exhausting effort","""I have a history of exhausting effort."""
"1","29","abdominal tenderness","Sore abdomen","Symptom","2","pain when touching the abdomen","I have pain in my abdomen when I touch the lower right side."
"1","256","dyspareunia","Pain during sexual intercourse","Symptom","2","pain with sex","I feel pain in sex time."
"1","2200","syncope","Fainting","Symptom","1","syncope","i am facing this problem too many times syncope."
"3","5240.0","family history of kidney disease","Family history of kidney stones; are hard deposits made of minerals and salts that form inside your kidneys","Family History","2","family history of urolithiasis","I have a family history of urolithiasis, which is the medical term for kidney stones. This issue is relevant for both genders."
"3","3691.0","use of condom or diaphragms with spermicide","Diaphragm is a form of birth control that prevents pregnancy The spermicide is a substance that destroys sperms","Risk factor","2","use of cervical cap with spermicide","Prior use of the cervical cap with spermicide caused many issues as diagnosed by another doctor. That is what brings me to you."
"3","3003.0","recent injury or trauma in upper extremity","Recently hit or injured your arms","Risk factor","2","a recent record of injury and trauma in upper extremity","I have had a recent injury to an upper extremity."
"3","4863.0","eye pain","Eyes sometimes get tired from intense use","Symptom","2","ocular fatigue","I often experience ocular fatigue."
"1","2010","shoulder bruising","Blue/purple skin on shoulder","Symptom","2","blue-purple skin on shoulder","In the shower, I noticed there is a patch of blue-purple skin on my shoulder."
"3","33.0","joint swelling","Ankle joint becoming larger or rounder in size","Symptom","2","enlarged ankle joint","My ankle joint is enlarged."
"3","5328.0","recent surgery","Recently undergone surgery to remove both of your ovaries, the ovary is an organ in the reproductive system of females that produces and stores eggs","Procedure / Surgery","2","recently undergone bilateral oophorectomy procedure","I was lucky to get pregnant since I have recently undergone bilateral oophorectomy procedure ."
"3","1558.0","family history of hypertension","Hypertension is when blood pressure is higher than 140/90 mm hg","Family History","2","hypertension is common in the family lineage","i have been hypertension is common in the family lineage"
"3","3949.0","family history of migraine","Migraine is a type of headache that affects one side of the head and happens often","Family History","2","migraine is prevalent in family","So I felt I should mention migraine is prevalent in family."
"1","1007","hypoglycemia","Abnormally low blood sugar","Symptom","2","low blood glucose","My blood glucose has dropped to an unexpected level."
"1","941","sudden weakness in one side of the body, that may include the face","","Symptom","2","unilateral paresis","Doctor, I've been experiencing unilateral paresis, which means I've been having weakness or paralysis on one side of my body. It's been affecting my mobility and daily activities, and I'm concerned about its cause and how to manage it."
"3","3317.0","recent injury or trauma in lower leg without ankle and feet","Recently hit or injured your lower leg, Note that the lower leg does not include your ankle and foot","Risk factor","2","a recent occurrence of injury and trauma in lower leg without ankle and feet","I recently experienced injury and trauma in my lower leg without my ankle and feet."
"3","4444.0","family history of melanoma","Melanoma is a form of skin cancer","Family History","2","father had melanoma","My father has a melanoma."
"1","2100","urinary tract infection","Infection in any part of urinary system","Symptom","2","infection in the urinary system","I might have an infection in my urinary system."
"3","4952.0","history of ectopic pregnancy","Ectopic pregnancy occurs when a fertilized egg implants and grows outside of the uterus","Disease / Medical Condition","2","having ectopic pregnancy in the past","I have been previously diagnosed with lung disease."
"3","5348.0","family history of cystic fibrosis","Cystic fibrosis is an inherited disorder that causes severe damage to the lungs, digestive system and other organs in the body","Family History","2","cystic fibrosis is prevalent in family","Cystic fibrosis runs in my family."
"1","511","sleepiness","","Symptom","3","difficulty waking up","Lately, I've been having trouble getting up in the morning. It's as if I can't seem to rouse myself from sleep as easily as I used to, and it's been affecting my daily routine."
"1","1019","hypomenorrhea","Light period","Symptom","2","light menstruation","I've noticed that my menstruation has been unusually light."
"3","1359.0","stress","Being stressed out","Symptom","1","stress","I have been experiencing stress."
"3","4789.0","aortic aneurysm","Aortic Aneurysm is a bulge in the wall of the aorta, the main artery from your heart","Disease / Medical Condition","2","aortic bulging","I have an aortic bulge, which is characterized as a balloon-like bulge in my aorta. It affects both men and women."
"3","817.0","family history of tremors","Tremors are randomly unintended shaking of your body as whole or only arms and legs","Family History","2","tremors is prevalent in family","Tremors is prevalent in my family."
"3","3794.0","not taken hpv vaccine","Human papillomavirus is the most common sexually transmitted infection","Risk factor","2","not taking human wart virus vaccine","I am not taking the human wart virus vaccine."
"3","2035.0","primigravida","This being your first pregnancy","Reproductive/sexual status","3","primigravida","I am pregnant with my first baby"
"3","1408.0","joint tenderness","Elbow pit hurts when touched","Symptom","2","elbow is painful from inside when touched","The inside part of my elbow hurts when it touches something."
"1","932","hematospermia","Blood in semen","Symptom","2","red colored semen","Doctor, I've noticed that my semen is red in color, which is quite concerning to me. It's like there's blood in my semen, and I'm unsure about the cause of this condition. I would appreciate your help in understanding and addressing this issue"
"3","449.0","history of dermatomyositis","Dermatomyositis is a rare disease that causes muscle weakness and skin rash","Disease / Medical Condition","2","previously diagnosed with dermatomyositis","I have been previously diagnosed with dermatomyositis."
"3","4254.0","family history of allergy","Allergic diseases refer to eczema, asthma, hay fever, anaphylaxis, or any food allergies","Family History","2","mother had allergy","i have mother had allergy"
"1","683","mass over lacrimal sac area","Bump near the inside corner of the eye","Symptom","2","lump between eye and nose","Doctor, I've noticed a lump between my eye and nose, near the inside corner of my eye. It's causing discomfort and is visible when I look in the mirror. I'm unsure of the cause, but it's concerning me, so I decided to seek your expertise to understand and address this issue."
"1","307","exophthalmos","Bulging eyeballs","Symptom","2","orbital bulge","I HAVE orbital bulge."
"3","2503.0","joint swelling","Swelling is when the area gets larger or rounder in size","Symptom","2","puffy wrist","I do a lot of arts and crafts and that led to me having puffy wrists."
"3","4217.0","pain in outer elbow","Positive tennis elbow test (Feeling pain in your outer elbow when you perform the tennis elbow test)","Symptom","2","positive tennis elbow test","I have a positive tennis elbow test."
"3","3422.0","use of ace inhibitors","ACE inhibitor is a heart medication that dilates your blood vessels","Medication","2","use of fosinopril","I've been using fosinopril, and I wanted to let you know about it as part of my medical history."
"3","2677.0","family history of recurrent otitis media","Otitis media is an inflammation of the middle ear","Family History","2","recurrent otitis media is common in the family lineage","""Recurrent otitis media is common in my family lineage, and I wanted you to be aware of that."""
"3","5332.0","exercising","Swimming or not drying your ears properly after getting them wet","Risk factor","2","bathing","i have been bathing"
"3","5009.0","colorectal carcinoma","Colon cancer","Disease / Medical Condition","2","colonic carcinoma","I have colonic carcinoma."
"3","4725.0","diverticulitis","Small, bulging pouches in digestive tract","Disease / Medical Condition","2","diverticular inflammation","I have diverticular inflammation."
"3","4146.0","antiepileptic drugs","Carbamazepine is a medication used primarily in the treatment of epilepsy","Medication","2","use of seizure medication","I thought it would be relevant to mention that I have been using seizure medication."
"1","936","hematospermia","Blood in semen","Symptom","2","red-tinged semen","My semen is discolored. It appears there is blood in it, with a red tinge to it."
"3","5271.0","stomach polyps","Stomach polyps are masses of cells that form on the lining inside your stomach","Disease / Medical Condition","3","stomach polyps","I have lumps of cells that form on the lining of my gut"
"3","2204.0","use of rifampicin","Rifampicin is an antibiotic used to treat several types of bacterial infections","Medication","2","under rifampicin","I've been under rifampicin treatment, also known as rifampin antibiotic, and I believe it's important for you to be aware of this as part of my medical history."
"3","4624.0","family history of colorectal cancer","Colorectal is anything relating to colon or rectum","Family History","2","colorectal cancer is common in the family lineage","I have a family lineage with a history of colorectal cancer, so it's important that I get screened regularly for it."
"3","50.0","family history of idiopathic pulmonary fibrosis","Idiopathic pulmonary fibrosis is a serious disease that affects the lungs where they become scarred and difficult to expand","Family History","2","idiopathic pulmonary fibrosis has been seen in multiple family members","My family has a history of idiopathic pulmonary fibrosis."
"3","5840.0","family history of alopecia areata","Alopecia areata is an autoimmune disorder that usually results in unpredictable, patchy hair loss","Family History","2","grandma had alopecia areata","I have a medical history of alopecia areata, a condition that involves patchyhair loss."
"3","4180.0","recent trauma or injury in lower extremity","Lower body includes your leg, ankle, or foot","Risk factor","2","history of trauma or injury in leg","I hurt my leg before."
"3","5413.0","drug or substance abuse","Intravenous usually refers to a way of giving a drug or other substance through a needle or tube inserted into a vein","Risk factor","3","intravenous drug abuse","""I have a history of using substances through a method involving needles and veins, and I'm concerned about potential health impacts or risks associated with this."""
"3","1943.0","travel from or to an endemic area of tuberculosis","Recently been in an area where Tuberculosis (a bacterial infection that spreads through inhaling tiny droplets from the coughs or sneezes of an infected person) is very common","Risk factor","2","travelling to an area where white plague is common","I've recently traveled to an area where Tuberculosis is common, and I'm concerned about the potential exposure. Can we discuss any necessary precautions or screenings?"
"3","124.0","use of sedative drugs","The use of a medication that helps in sleeping or relaxing","Medication","2","use of xanax","""I have a history of using Xanax."""
"3","1143.0","recent dental procedure","Any recent procedures to your teeth","Procedure / Surgery","2","recent surgery to the teeth","""I recently had surgery to my teeth."" ✅"
"1","1127","skin erythema","Painless red spots on the soles of feet or palms of hands","Symptom","2","flat painless lesions on the palms","My hands have red spots at the tip of the fingers."
"3","3775.0","family history of polymyalgia rheumatica","Polymyalgia rheumatica is a disorder that causes muscle pain and stiffness, especially in the shoulders and hips","Family History","2","polymyalgia rheumatica has been seen in multiple family members","Doctor, I want to inform you that polymyalgia rheumatica has been observed in multiple family members. Several of my relatives have been diagnosed with it in the past. I thought it was important to share this family medical history with you as it may be relevant to my own symptoms and overall health."
"1","1664","polyuria","High urine output","Symptom","1","polyuria","I've been experiencing polyuria, which is excessive urination. I find myself urinating more frequently and in larger amounts than usual. It's been quite bothersome, and I'd like to understand the potential underlying causes and any necessary steps for evaluation and management"
"3","4663.0","family history of amyloidosis","Amyloidosis is when an abnormal protein called amyloid builds up in your tissues and organs","Family History","2","grandpa had amyloidosis","I have a family history of amyloidosis, which is a condition affecting the organs where proteins build up in the tissue."
"3","5120.0","use of propylthiouracil","Propylthiouracil is a medication used to treat hyperthyroidism where the thyroid gland makes too much thyroid hormone","Medication","1","use of propylthiouracil","I'm currently using propylthiouracil as part of my medical treatment, and I wanted to inform you about it as it's an important component of my health management."
"1","255","dyspareunia","Pain during sexual intercourse","Symptom","3","dyspareunia","Whenever I have sex, it is very painful like I have dyspareunia."
"1","203","depression","","Symptom","2","sad mood","I have feel fever in my body so sad mood on the day."
"1","419","gingival swelling","Gum swelling","Symptom","2","gum swelling","I have been feeling some gum swelling, and it has been getting worse over the past few days. It's very uncomfortable and I'm concerned about what might be causing it."
"3","5944.0","aortic dissection","Aortic dissection is a serious condition in which a tear occurs in the inner layer of the body's main artery (aorta)","Disease / Medical Condition","2","aortic intramural hematoma","Previously, my doctor has diagnosed me with aortic intramural hematoma."
"1","498","diaphoresis","Excessive sweating","Symptom","1","diaphoresis","From last few days I am suffering from diaphoresis."
"3","519.0","history of lynch syndrome","Lynch syndrome is an inherited condition that makes you more likely to have some types of cancer","Disease / Medical Condition","2","having lynch syndrome in the past","having lynch syndrome in the past seemed to hinder me from everyday activities such as doing laundry and feeding myself."
"3","860.0","family history of parkinson's disease","Parkinson's disease is a brain disorder that leads to shaking and difficulty with walking, balance, and coordination","Family History","2","family history of pd","I have a family history of pd."
"1","1093","irritability","Feeling agitated","Symptom","2","easily getting restless","Recently I am easily getting restless at all times of the day. I feel like I am easily agitated and can't relax."
"1","1081","insomnia","Lack of sleep","Symptom","2","hard to stay asleep","I've been having a hard time staying asleep throughout the night."
"3","2020.0","giant cell arteritis","Giant cell arteritis is an inflammation of the lining of your arteries","Disease / Medical Condition","2","temporal arteritis","I have temporal arthritis."
"1","2000","tissue passing from vagina","","Symptom","2","vaginal material discharge","I am experiencing a discharge of material from the vagina. It is a substance that comes out and is not normal vaginal discharge."
"3","273.0","recent surgery","Operation to the Brain","Procedure / Surgery","2","head surgery","""I underwent head surgery in the past."""
"3","5239.0","family history of kidney disease","Family history of kidney stones; are hard deposits made of minerals and salts that form inside your kidneys","Family History","2","family history of kidney stone disease","""I wanted to inform you that there's a family history of kidney stone disease."""
"3","1522.0","use of tamoxifen","Tamoxifen is a medication that blocks the female hormone estrogen in the body","Medication","2","taking tamoxifen","""I am currently taking Tamoxifen."""
"1","2032","skin erythema","Skin rash and redness","Symptom","2","redness of the skin","Doctor, I've noticed redness of the skin on various parts of my body. It's like a skin rash that's causing patches of my skin to become visibly red and inflamed. This redness has been present for the past few days and has been causing some itching and discomfort."
"3","2138.0","contact with an individual with a red eye","Recently being in close contact with someone who has red eyes","Risk factor","2","contact with a person with an inflamed eye","I have had a contact with a person with an inflamed eye."
"3","4713.0","multiple myeloma","Multiple myeloma a type of bone marrow cancer","Disease / Medical Condition","2","mm","I'd like you to know that I have been diagnosed with multiple myeloma (MM), and I'm here to discuss my condition and any necessary treatments or monitoring."
"1","384","fissured tongue","Cracked tongue","Symptom","2","scrotal tongue","When I brushed my teeth, I noticed I've got a scrotal tongue."
"3","5230.0","family history of kidney disease","Family history of kidney stones; are hard deposits made of minerals and salts that form inside your kidneys","Family History","2","there is a family tendency for nephrolithiasis","I have a family tendency for nephrolithiasis, commonly known as a family history of kidney stones. This issue is specific to both genders."
"3","5484.0","family history of chronic venous insufficiency","Chronic venous insufficiency is a condition in which veins, typically in the legs, do not function properly, making it difficult for the blood in the legs to cycle back to the heart","Family History","2","grandma had chronic venous insufficiency","My grandma has chronic venous insufficiency."
"1","1741","sleepiness","Long time while taking a nap","Symptom","2","lengthy afternoon sleep","Doctor, I've been experiencing lengthy afternoon sleep, where I end up napping for a long time in the afternoon. It's becoming quite concerning as it affects my daily productivity."
"3","4385.0","history of acute angle closure glaucoma","Acute angle closure glaucoma is a serious eye condition that occurs when the fluid pressure inside your eye rises quickly","Disease / Medical Condition","2","experienced acute angle closure glaucoma at some point in life","I have experienced acute angle closure glaucoma."
"3","1914.0","family history of premenstrual syndrome","Premenstrual syndrome is the name for the symptoms women can experience in the weeks before their period","Family History","2","premenstrual syndrome runs in the family","I am aware that premenstrual syndrome runs in the family and may be an issue."
"1","1358","myalgia","Muscle pain","Symptom","2","muscles hurt","""Doctor, I've been experiencing muscle pain lately. It feels like a persistent ache and soreness in various parts of my body, especially after physical activity or even with simple movements. The pain is sometimes dull, but it can also be sharp and intense. It's been affecting my daily activities and overall well-being."""
"1","692","melena","Black stool","Symptom","2","dark poop","After dinner we sat down for dessert and proceeded to eat dark chocolates, blueberries, and cherries as to celebrate our valentines date. Later on in the evening I noticed my stool  was black and dark. Is this something I should be worried about?"
